current_price,retail_price,dtp,venue_capacity,classification
54,29.5,9,2325,Wait
49,29.5,7,2325,Buy
44.97,25,9,550,Wait
32,25,7,550,Buy
51,33,64,4500,Wait
39,33,62,4500,Buy
102,45,42,4500,Buy
119.99,45,40,4500,Wait
41,19,49,5000,Wait
40,19,47,5000,Wait
36.4,30,63,2000,Wait
35,30,61,2000,Wait
42,52.25,130,6500,Buy
48.22,52.25,128,6500,Wait
36.73,40,30,1200,Wait
36,40,28,1200,Wait
65.5,48.4,64,2000,Buy
66,48.4,62,2000,Wait
56,35,17,1200,Wait
45.5,35,15,1200,Wait
80,25,69,1200,Wait
67.35,25,67,1200,Wait
135,39.5,76,800,Buy
143,39.5,74,800,Wait
100,29,88,4000,Wait
97,29,86,4000,Wait
45,45,12,3000,Wait
45,45,10,3000,Wait
55,30,73,1100,Wait
53,30,71,1100,Wait
65.85,24,14,800,Buy
77.4,24,12,800,Wait
117.71,69.69,13,1650,Wait
117.71,69.69,11,1650,Wait
150,25,32,3000,Wait
150,25,30,3000,Wait
17.75,25,15,500,Wait
17.19,25,13,500,Wait
48,30,15,3000,Buy
57.45,30,13,3000,Wait
110.22,20,20,249,Buy
129,20,18,249,Wait
59.95,27.5,40,2325,Buy
59.96,27.5,38,2325,Wait
37.31,22,29,800,Buy
43,22,27,800,Wait
189.49,145,15,2000,Wait
132,145,13,2000,Wait
40,40,25,994,Buy
99.98,40,23,994,Wait
